门店名称,日期,食材成本,人工成本,房租成本,其他成本
北京朝阳店,2024-01-01,9500,6800,4500,1200
北京朝阳店,2024-01-02,10800,7200,4500,1300
北京朝阳店,2024-01-03,9200,6500,4500,1100
北京朝阳店,2024-01-04,10200,7000,4500,1250
北京朝阳店,2024-01-05,11500,7500,4500,1400
北京朝阳店,2024-01-06,13200,8200,4500,1600
北京朝阳店,2024-01-07,12400,7800,4500,1500
北京海淀店,2024-01-01,8300,5800,3800,1000
北京海淀店,2024-01-02,9100,6200,3800,1100
北京海淀店,2024-01-03,8100,5600,3800,950
北京海淀店,2024-01-04,8700,5900,3800,1050
北京海淀店,2024-01-05,9900,6500,3800,1200
北京海淀店,2024-01-06,10900,7100,3800,1300
北京海淀店,2024-01-07,10300,6800,3800,1250
上海浦东店,2024-01-01,11800,8500,5200,1500
上海浦东店,2024-01-02,13200,9200,5200,1650
上海浦东店,2024-01-03,11400,8200,5200,1450
上海浦东店,2024-01-04,12400,8800,5200,1550
上海浦东店,2024-01-05,14000,9600,5200,1750
上海浦东店,2024-01-06,15200,10200,5200,1900
上海浦东店,2024-01-07,14400,9800,5200,1800
上海徐汇店,2024-01-01,7300,5200,3500,900
上海徐汇店,2024-01-02,8200,5600,3500,1000
上海徐汇店,2024-01-03,7000,5000,3500,850
上海徐汇店,2024-01-04,7600,5300,3500,950
上海徐汇店,2024-01-05,8700,5900,3500,1050
上海徐汇店,2024-01-06,9900,6500,3500,1200
上海徐汇店,2024-01-07,9100,6100,3500,1100
广州天河店,2024-01-01,10700,7500,4800,1300
广州天河店,2024-01-02,11600,8000,4800,1400
广州天河店,2024-01-03,10200,7200,4800,1250
广州天河店,2024-01-04,11000,7600,4800,1350
广州天河店,2024-01-05,12400,8300,4800,1500
广州天河店,2024-01-06,13600,8900,4800,1650
广州天河店,2024-01-07,12800,8500,4800,1550
深圳南山店,2024-01-01,11600,8200,5500,1400
深圳南山店,2024-01-02,12800,8800,5500,1550
深圳南山店,2024-01-03,11100,7800,5500,1350
深圳南山店,2024-01-04,11900,8400,5500,1450
深圳南山店,2024-01-05,13200,9100,5500,1600
深圳南山店,2024-01-06,14400,9700,5500,1750
深圳南山店,2024-01-07,13600,9300,5500,1650
